repo,module,dependency_repo,dependency_module,required_version,indirect,replace_target,dependency_in_tracker,dependency_state,dependency_batch,dependency_tracker_tag,dependency_release_url,dependency_latest_local_tag,source,scanned_at
go-go-agent,github.com/go-go-golems/go-go-agent,clay,github.com/go-go-golems/clay,v0.1.39,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,geppetto,github.com/go-go-golems/geppetto,v0.4.50,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,glazed,github.com/go-go-golems/glazed,v0.5.48,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.7,0,,1,main_actions_verified,B4,,,v0.0.10,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,pinocchio,github.com/go-go-golems/pinocchio,v0.4.33,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent-action,github.com/go-go-golems/go-go-agent-action,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-arc-agi,github.com/go-go-golems/go-go-app-arc-agi,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-arc-agi,github.com/go-go-golems/go-go-app-arc-agi,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,geppetto,github.com/go-go-golems/geppetto,v0.11.3,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.6,1,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-os-chat,github.com/go-go-golems/go-go-os-chat,v0.0.1,0,,0,,,,,,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,pinocchio,github.com/go-go-golems/pinocchio,v0.10.10,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,plz-confirm,github.com/go-go-golems/plz-confirm,v0.0.4,1,,1,main_actions_verified,B4,,,v0.0.4,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-sqlite,github.com/go-go-golems/go-go-app-sqlite,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,geppetto,github.com/go-go-golems/geppetto,v0.10.3,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,glazed,github.com/go-go-golems/glazed,v1.0.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,bobatea,github.com/go-go-golems/bobatea,v0.1.5,0,,1,main_actions_verified,B1,,,v0.1.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,geppetto,github.com/go-go-golems/geppetto,v0.11.7,1,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,glazed,github.com/go-go-golems/glazed,v1.2.7,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.16,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,geppetto,github.com/go-go-golems/geppetto,v0.10.17,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-os-backend,github.com/go-go-golems/go-go-os-backend,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.2,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-os-backend,github.com/go-go-golems/go-go-os-backend,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,clay,github.com/go-go-golems/clay,v0.4.11,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
